Input name	Class
Cer(d18:0/02:0)	Cer
Cer(d18:0/16:0)	DHCer
Cer(d18:0/18:0)	DHCer
Cer(d18:0/20:0)	DHCer
Cer(d18:0/22:0)	DHCer
Cer(d18:0/24:0)	DHCer
Cer(d18:0/24:1)	DHCer
Cer(d18:1/12:0)	Cer
Cer(d18:1/14:0)	Cer
Cer(d18:1/16:0)	Cer
Cer(d18:1/16:1)	Cer
Cer(d18:1/17:0)	Cer
Cer(d18:1/18:0)	Cer
Cer(d18:1/18:1)	Cer
Cer(d18:1/19:0)	Cer
Cer(d18:1/20:0)	Cer
Cer(d18:1/22:0)	Cer
Cer(d18:1/22:1)	Cer
Cer(d18:1/23:0)	Cer
Cer(d18:1/24:0)	Cer
Cer(d18:1/24:1)	Cer
Cer(d18:1/26:0)	Cer
Cer(d18:1/26:1)	Cer
Cer(d18:2/16:0)	Cer
Cer(d18:2/18:0)	Cer
Cer(d18:2/20:0)	Cer
Cer(d18:2/22:0)	Cer
Cer(d18:2/24:0)	Cer
Cer(d18:2/24:1)	Cer
Cer(t18:0/16:0)	PhytoCer
Cer(t18:0/22:0)	PhytoCer
Cer(t18:0/24:0)	PhytoCer
Cer(t18:0/24:1)	PhytoCer
DG 16:0_18:2	DG
DG 16:0_22:4	DG
DG 16:0_22:5	DG
DG 16:0_22:6	DG
DG 18:0_18:2	DG
DG 18:0_20:3	DG
DG 18:0_22:4	DG
DG 18:0_22:5	DG
DG 18:0_22:6	DG
DG 18:1_18:2	DG
DG 18:1_20:4	DG
DG 18:1_22:5	DG
DG 18:2_24:0	DG
DG(16:0_18:1)	DG
DG(16:0_20:4)	DG
DG(18:0_18:1)	DG
DG(18:0_20:4)	DG
DG(18:1_18:1)	DG
DG(18:2_18:2)	DG
GlcCer (d18:0/16:0)	HexCer
GlcCer (d18:0/20:0)	HexCer
GlcCer (d18:0/24:1)	HexCer
GlcCer (d18:1/16:0)	HexCer
GlcCer (d18:1/18:0)	HexCer
GlcCer (d18:1/20:0)	HexCer
GlcCer (d18:1/22:0)	HexCer
GlcCer (d18:1/24:0)	HexCer
GlcCer (d18:1/24:1)	HexCer
PC(34:2)	PC
PC(36:0)	PC
PC(36:1)	PC
PC(36:2)	PC
PC(36:3)	PC
PC(36:4)	PC
SM(d18:0/16:0)	SM
SM(d18:0/18:0)	SM
SM(d18:0/20:0)	SM
SM(d18:0/22:0)	SM
SM(d18:0/24:0)	SM
SM(d18:0/24:1)	SM
SM(d18:1/14:0)	SM
SM(d18:1/16:0)	SM
SM(d18:1/17:0)	SM
SM(d18:1/18:0)	SM
SM(d18:1/20:0)	SM
SM(d18:1/22:0)	SM
SM(d18:1/24:0)	SM
SM(d18:1/24:1)	SM
Sphinganine	Sphinganines
Sphingosine	Sphingosines
TG 14:0_16:0_18:2	TG
TG 16:0_16:0_16:1	TG
TG 16:0_16:0_18:0	TG
TG 16:0_16:0_18:2	TG
TG 16:0_16:0_20:4	TG
TG 16:0_16:0_22:6	TG
TG 16:0_16:1_18:2	TG
TG 16:0_17:0_18:1	TG
TG 16:0_17:0_18:2	TG
TG 16:0_18:0_18:0	TG
TG 16:0_18:0_18:1	TG
TG 16:0_18:1_18:2	TG
TG 16:0_18:1_20:4	TG
TG 16:0_18:2_18:2	TG
TG 16:0_18:2_20:4	TG
TG 16:0_18:2_22:5	TG
TG 16:0_20:4_22:5	TG
TG 16:0_20:4_22:6	TG
TG 17:0_18:0_18:2	TG
TG 18:0_18:0_18:1	TG
TG 18:0_18:0_22:6	TG
TG 18:0_18:1_18:2	TG
TG 18:0_18:1_20:0	TG
TG 18:0_18:1_22:4	TG
TG 18:0_18:2_20:0	TG
TG 18:0_18:2_20:4	TG
TG 18:0_18:2_22:4	TG
TG 18:0_18:2_22:5	TG
TG 18:0_20:4_20:4	TG
TG 18:0_20:4_22:4	TG
TG 18:1_18:1_18:2	TG
TG 18:1_18:2_18:2	TG
TG 18:1_18:2_22:5	TG
TG 18:2_18:2_18:2	TAG
TG 18:2_18:2_20:4	TG
